film_id;category_id;last_update
119;5;2017-02-15 10:07:09+00
120;15;2017-02-15 10:07:09+00
121;2;2017-02-15 10:07:09+00
122;11;2017-02-15 10:07:09+00
123;16;2017-02-15 10:07:09+00
124;3;2017-02-15 10:07:09+00
125;16;2017-02-15 10:07:09+00
126;1;2017-02-15 10:07:09+00
127;5;2017-02-15 10:07:09+00
128;9;2017-02-15 10:07:09+00
129;6;2017-02-15 10:07:09+00
130;1;2017-02-15 10:07:09+00
131;4;2017-02-15 10:07:09+00
132;14;2017-02-15 10:07:09+00
133;12;2017-02-15 10:07:09+00
134;2;2017-02-15 10:07:09+00
135;15;2017-02-15 10:07:09+00
136;13;2017-02-15 10:07:09+00
137;14;2017-02-15 10:07:09+00
138;14;2017-02-15 10:07:09+00
139;8;2017-02-15 10:07:09+00
140;14;2017-02-15 10:07:09+00
141;10;2017-02-15 10:07:09+00
142;6;2017-02-15 10:07:09+00
143;7;2017-02-15 10:07:09+00
144;13;2017-02-15 10:07:09+00
145;8;2017-02-15 10:07:09+00
146;7;2017-02-15 10:07:09+00
147;8;2017-02-15 10:07:09+00
148;9;2017-02-15 10:07:09+00
149;3;2017-02-15 10:07:09+00
150;6;2017-02-15 10:07:09+00
151;14;2017-02-15 10:07:09+00
152;3;2017-02-15 10:07:09+00
153;14;2017-02-15 10:07:09+00
154;2;2017-02-15 10:07:09+00
155;13;2017-02-15 10:07:09+00
156;6;2017-02-15 10:07:09+00
157;3;2017-02-15 10:07:09+00
158;12;2017-02-15 10:07:09+00
159;5;2017-02-15 10:07:09+00
160;2;2017-02-15 10:07:09+00
161;12;2017-02-15 10:07:09+00
162;1;2017-02-15 10:07:09+00
163;13;2017-02-15 10:07:09+00
164;6;2017-02-15 10:07:09+00
165;14;2017-02-15 10:07:09+00
166;4;2017-02-15 10:07:09+00
167;16;2017-02-15 10:07:09+00
168;3;2017-02-15 10:07:09+00
169;16;2017-02-15 10:07:09+00
170;9;2017-02-15 10:07:09+00
171;11;2017-02-15 10:07:09+00
172;7;2017-02-15 10:07:09+00
173;7;2017-02-15 10:07:09+00
174;12;2017-02-15 10:07:09+00
175;8;2017-02-15 10:07:09+00
176;15;2017-02-15 10:07:09+00
177;14;2017-02-15 10:07:09+00
178;5;2017-02-15 10:07:09+00
179;7;2017-02-15 10:07:09+00
180;4;2017-02-15 10:07:09+00
181;16;2017-02-15 10:07:09+00
182;5;2017-02-15 10:07:09+00
183;8;2017-02-15 10:07:09+00
184;4;2017-02-15 10:07:09+00
185;9;2017-02-15 10:07:09+00
186;7;2017-02-15 10:07:09+00
187;15;2017-02-15 10:07:09+00
188;5;2017-02-15 10:07:09+00
189;10;2017-02-15 10:07:09+00
190;4;2017-02-15 10:07:09+00
191;3;2017-02-15 10:07:09+00
192;9;2017-02-15 10:07:09+00
193;2;2017-02-15 10:07:09+00
194;1;2017-02-15 10:07:09+00
195;14;2017-02-15 10:07:09+00
196;4;2017-02-15 10:07:09+00
197;15;2017-02-15 10:07:09+00
198;9;2017-02-15 10:07:09+00
199;6;2017-02-15 10:07:09+00
200;10;2017-02-15 10:07:09+00
201;9;2017-02-15 10:07:09+00
202;5;2017-02-15 10:07:09+00
203;14;2017-02-15 10:07:09+00
204;7;2017-02-15 10:07:09+00
205;1;2017-02-15 10:07:09+00
206;6;2017-02-15 10:07:09+00
207;9;2017-02-15 10:07:09+00
208;2;2017-02-15 10:07:09+00
209;7;2017-02-15 10:07:09+00
210;1;2017-02-15 10:07:09+00
211;10;2017-02-15 10:07:09+00
212;1;2017-02-15 10:07:09+00
213;8;2017-02-15 10:07:09+00
214;3;2017-02-15 10:07:09+00
215;10;2017-02-15 10:07:09+00
216;13;2017-02-15 10:07:09+00
217;10;2017-02-15 10:07:09+00
218;7;2017-02-15 10:07:09+00
219;6;2017-02-15 10:07:09+00
220;12;2017-02-15 10:07:09+00
221;6;2017-02-15 10:07:09+00
222;11;2017-02-15 10:07:09+00
223;2;2017-02-15 10:07:09+00
224;16;2017-02-15 10:07:09+00
225;7;2017-02-15 10:07:09+00
226;13;2017-02-15 10:07:09+00
227;10;2017-02-15 10:07:09+00
228;4;2017-02-15 10:07:09+00
229;1;2017-02-15 10:07:09+00
230;7;2017-02-15 10:07:09+00
231;8;2017-02-15 10:07:09+00
232;10;2017-02-15 10:07:09+00
233;16;2017-02-15 10:07:09+00
234;14;2017-02-15 10:07:09+00
235;14;2017-02-15 10:07:09+00
236;10;2017-02-15 10:07:09+00
237;15;2017-02-15 10:07:09+00
238;3;2017-02-15 10:07:09+00
239;2;2017-02-15 10:07:09+00
240;14;2017-02-15 10:07:09+00
241;2;2017-02-15 10:07:09+00
242;5;2017-02-15 10:07:09+00
243;2;2017-02-15 10:07:09+00
244;12;2017-02-15 10:07:09+00
245;2;2017-02-15 10:07:09+00
246;9;2017-02-15 10:07:09+00
247;5;2017-02-15 10:07:09+00
248;6;2017-02-15 10:07:09+00
249;4;2017-02-15 10:07:09+00
250;1;2017-02-15 10:07:09+00
251;13;2017-02-15 10:07:09+00
252;1;2017-02-15 10:07:09+00
253;1;2017-02-15 10:07:09+00
254;15;2017-02-15 10:07:09+00
255;12;2017-02-15 10:07:09+00
256;15;2017-02-15 10:07:09+00
257;16;2017-02-15 10:07:09+00
258;11;2017-02-15 10:07:09+00
259;2;2017-02-15 10:07:09+00
260;15;2017-02-15 10:07:09+00
261;6;2017-02-15 10:07:09+00
262;8;2017-02-15 10:07:09+00
263;15;2017-02-15 10:07:09+00
264;10;2017-02-15 10:07:09+00
265;5;2017-02-15 10:07:09+00
266;4;2017-02-15 10:07:09+00
267;13;2017-02-15 10:07:09+00
268;2;2017-02-15 10:07:09+00
269;8;2017-02-15 10:07:09+00
270;13;2017-02-15 10:07:09+00
271;1;2017-02-15 10:07:09+00
272;7;2017-02-15 10:07:09+00
273;8;2017-02-15 10:07:09+00
274;6;2017-02-15 10:07:09+00
275;11;2017-02-15 10:07:09+00
276;5;2017-02-15 10:07:09+00
277;11;2017-02-15 10:07:09+00
278;12;2017-02-15 10:07:09+00
279;15;2017-02-15 10:07:09+00
280;3;2017-02-15 10:07:09+00
281;10;2017-02-15 10:07:09+00
282;7;2017-02-15 10:07:09+00
283;13;2017-02-15 10:07:09+00
284;12;2017-02-15 10:07:09+00
285;14;2017-02-15 10:07:09+00
286;16;2017-02-15 10:07:09+00
287;1;2017-02-15 10:07:09+00
288;16;2017-02-15 10:07:09+00
289;13;2017-02-15 10:07:09+00
290;9;2017-02-15 10:07:09+00
291;15;2017-02-15 10:07:09+00
292;1;2017-02-15 10:07:09+00
293;15;2017-02-15 10:07:09+00
294;16;2017-02-15 10:07:09+00
295;6;2017-02-15 10:07:09+00
296;14;2017-02-15 10:07:09+00
297;4;2017-02-15 10:07:09+00
298;14;2017-02-15 10:07:09+00
299;16;2017-02-15 10:07:09+00
300;2;2017-02-15 10:07:09+00
301;11;2017-02-15 10:07:09+00
302;10;2017-02-15 10:07:09+00
303;1;2017-02-15 10:07:09+00
304;3;2017-02-15 10:07:09+00
305;13;2017-02-15 10:07:09+00
306;10;2017-02-15 10:07:09+00
307;16;2017-02-15 10:07:09+00
308;5;2017-02-15 10:07:09+00
309;8;2017-02-15 10:07:09+00
310;10;2017-02-15 10:07:09+00
311;9;2017-02-15 10:07:09+00
312;14;2017-02-15 10:07:09+00
313;11;2017-02-15 10:07:09+00
314;2;2017-02-15 10:07:09+00
315;8;2017-02-15 10:07:09+00
316;10;2017-02-15 10:07:09+00
317;5;2017-02-15 10:07:09+00
318;1;2017-02-15 10:07:09+00
319;14;2017-02-15 10:07:09+00
320;13;2017-02-15 10:07:09+00
321;13;2017-02-15 10:07:09+00
322;15;2017-02-15 10:07:09+00
323;15;2017-02-15 10:07:09+00
324;5;2017-02-15 10:07:09+00
325;2;2017-02-15 10:07:09+00
326;2;2017-02-15 10:07:09+00
327;1;2017-02-15 10:07:09+00
328;3;2017-02-15 10:07:09+00
329;1;2017-02-15 10:07:09+00
330;2;2017-02-15 10:07:09+00
331;10;2017-02-15 10:07:09+00
332;5;2017-02-15 10:07:09+00
333;12;2017-02-15 10:07:09+00
334;11;2017-02-15 10:07:09+00
335;5;2017-02-15 10:07:09+00
336;6;2017-02-15 10:07:09+00
337;9;2017-02-15 10:07:09+00
338;14;2017-02-15 10:07:09+00
339;16;2017-02-15 10:07:09+00
340;13;2017-02-15 10:07:09+00
341;4;2017-02-15 10:07:09+00
342;16;2017-02-15 10:07:09+00
343;3;2017-02-15 10:07:09+00
344;3;2017-02-15 10:07:09+00
345;8;2017-02-15 10:07:09+00
346;4;2017-02-15 10:07:09+00
347;16;2017-02-15 10:07:09+00
348;8;2017-02-15 10:07:09+00
349;2;2017-02-15 10:07:09+00
350;14;2017-02-15 10:07:09+00
351;11;2017-02-15 10:07:09+00
352;10;2017-02-15 10:07:09+00
353;9;2017-02-15 10:07:09+00
354;3;2017-02-15 10:07:09+00
355;2;2017-02-15 10:07:09+00
356;3;2017-02-15 10:07:09+00
357;4;2017-02-15 10:07:09+00
358;4;2017-02-15 10:07:09+00
359;8;2017-02-15 10:07:09+00
360;1;2017-02-15 10:07:09+00
361;15;2017-02-15 10:07:09+00
362;10;2017-02-15 10:07:09+00
363;12;2017-02-15 10:07:09+00
364;13;2017-02-15 10:07:09+00
365;5;2017-02-15 10:07:09+00
366;7;2017-02-15 10:07:09+00
367;14;2017-02-15 10:07:09+00
368;7;2017-02-15 10:07:09+00
369;14;2017-02-15 10:07:09+00
370;3;2017-02-15 10:07:09+00
371;1;2017-02-15 10:07:09+00
372;15;2017-02-15 10:07:09+00
373;3;2017-02-15 10:07:09+00
374;14;2017-02-15 10:07:09+00
375;1;2017-02-15 10:07:09+00
376;9;2017-02-15 10:07:09+00
377;8;2017-02-15 10:07:09+00
378;12;2017-02-15 10:07:09+00
379;7;2017-02-15 10:07:09+00
380;9;2017-02-15 10:07:09+00
381;10;2017-02-15 10:07:09+00
382;10;2017-02-15 10:07:09+00
383;15;2017-02-15 10:07:09+00
384;12;2017-02-15 10:07:09+00
385;5;2017-02-15 10:07:09+00
386;16;2017-02-15 10:07:09+00
387;10;2017-02-15 10:07:09+00
388;5;2017-02-15 10:07:09+00
389;15;2017-02-15 10:07:09+00
390;14;2017-02-15 10:07:09+00
391;8;2017-02-15 10:07:09+00
392;3;2017-02-15 10:07:09+00
393;6;2017-02-15 10:07:09+00
394;14;2017-02-15 10:07:09+00
395;1;2017-02-15 10:07:09+00
396;7;2017-02-15 10:07:09+00
397;14;2017-02-15 10:07:09+00
398;12;2017-02-15 10:07:09+00
399;9;2017-02-15 10:07:09+00
400;6;2017-02-15 10:07:09+00
401;7;2017-02-15 10:07:09+00
402;2;2017-02-15 10:07:09+00
403;7;2017-02-15 10:07:09+00
404;5;2017-02-15 10:07:09+00
405;16;2017-02-15 10:07:09+00
406;10;2017-02-15 10:07:09+00
407;6;2017-02-15 10:07:09+00
408;10;2017-02-15 10:07:09+00
409;3;2017-02-15 10:07:09+00
410;5;2017-02-15 10:07:09+00
411;12;2017-02-15 10:07:09+00
412;6;2017-02-15 10:07:09+00
413;5;2017-02-15 10:07:09+00
414;9;2017-02-15 10:07:09+00
415;11;2017-02-15 10:07:09+00
416;9;2017-02-15 10:07:09+00
417;1;2017-02-15 10:07:09+00
418;7;2017-02-15 10:07:09+00
419;8;2017-02-15 10:07:09+00
420;15;2017-02-15 10:07:09+00
421;9;2017-02-15 10:07:09+00
422;14;2017-02-15 10:07:09+00
423;3;2017-02-15 10:07:09+00
424;3;2017-02-15 10:07:09+00
425;4;2017-02-15 10:07:09+00
426;12;2017-02-15 10:07:09+00
427;6;2017-02-15 10:07:09+00
428;8;2017-02-15 10:07:09+00
429;15;2017-02-15 10:07:09+00
430;2;2017-02-15 10:07:09+00
431;9;2017-02-15 10:07:09+00
432;4;2017-02-15 10:07:09+00
433;2;2017-02-15 10:07:09+00
434;16;2017-02-15 10:07:09+00
435;9;2017-02-15 10:07:09+00
436;13;2017-02-15 10:07:09+00
437;8;2017-02-15 10:07:09+00
438;10;2017-02-15 10:07:09+00
439;7;2017-02-15 10:07:09+00
440;9;2017-02-15 10:07:09+00
441;6;2017-02-15 10:07:09+00
442;8;2017-02-15 10:07:09+00
443;5;2017-02-15 10:07:09+00
444;5;2017-02-15 10:07:09+00
445;4;2017-02-15 10:07:09+00
446;15;2017-02-15 10:07:09+00
447;10;2017-02-15 10:07:09+00
448;13;2017-02-15 10:07:09+00
449;14;2017-02-15 10:07:09+00
450;3;2017-02-15 10:07:09+00
451;16;2017-02-15 10:07:09+00
452;9;2017-02-15 10:07:09+00
453;15;2017-02-15 10:07:09+00
454;12;2017-02-15 10:07:09+00
455;9;2017-02-15 10:07:09+00
456;2;2017-02-15 10:07:09+00
457;6;2017-02-15 10:07:09+00
458;8;2017-02-15 10:07:09+00
459;9;2017-02-15 10:07:09+00
460;9;2017-02-15 10:07:09+00
461;2;2017-02-15 10:07:09+00
462;12;2017-02-15 10:07:09+00
463;15;2017-02-15 10:07:09+00
464;2;2017-02-15 10:07:09+00
465;13;2017-02-15 10:07:09+00
466;6;2017-02-15 10:07:09+00
467;9;2017-02-15 10:07:09+00
468;3;2017-02-15 10:07:09+00
469;4;2017-02-15 10:07:09+00
470;2;2017-02-15 10:07:09+00
471;4;2017-02-15 10:07:09+00
472;16;2017-02-15 10:07:09+00
473;7;2017-02-15 10:07:09+00
474;15;2017-02-15 10:07:09+00
475;11;2017-02-15 10:07:09+00
476;8;2017-02-15 10:07:09+00
477;12;2017-02-15 10:07:09+00
478;5;2017-02-15 10:07:09+00
479;8;2017-02-15 10:07:09+00
480;4;2017-02-15 10:07:09+00
481;13;2017-02-15 10:07:09+00
482;4;2017-02-15 10:07:09+00
483;10;2017-02-15 10:07:09+00
484;4;2017-02-15 10:07:09+00
485;3;2017-02-15 10:07:09+00
486;9;2017-02-15 10:07:09+00
487;4;2017-02-15 10:07:09+00
488;15;2017-02-15 10:07:09+00
489;2;2017-02-15 10:07:09+00
490;13;2017-02-15 10:07:09+00
491;3;2017-02-15 10:07:09+00
492;13;2017-02-15 10:07:09+00
493;9;2017-02-15 10:07:09+00
494;11;2017-02-15 10:07:09+00
495;11;2017-02-15 10:07:09+00
496;16;2017-02-15 10:07:09+00
497;6;2017-02-15 10:07:09+00
498;8;2017-02-15 10:07:09+00
499;8;2017-02-15 10:07:09+00
500;9;2017-02-15 10:07:09+00
501;1;2017-02-15 10:07:09+00
502;5;2017-02-15 10:07:09+00
503;15;2017-02-15 10:07:09+00
504;7;2017-02-15 10:07:09+00
505;3;2017-02-15 10:07:09+00
506;11;2017-02-15 10:07:09+00
507;10;2017-02-15 10:07:09+00
508;10;2017-02-15 10:07:09+00
509;3;2017-02-15 10:07:09+00
510;2;2017-02-15 10:07:09+00
511;1;2017-02-15 10:07:09+00
512;4;2017-02-15 10:07:09+00
513;16;2017-02-15 10:07:09+00
514;7;2017-02-15 10:07:09+00
515;3;2017-02-15 10:07:09+00
516;12;2017-02-15 10:07:09+00
517;15;2017-02-15 10:07:09+00
518;16;2017-02-15 10:07:09+00
519;15;2017-02-15 10:07:09+00
520;14;2017-02-15 10:07:09+00
521;7;2017-02-15 10:07:09+00
522;5;2017-02-15 10:07:09+00
523;4;2017-02-15 10:07:09+00
524;5;2017-02-15 10:07:09+00
525;4;2017-02-15 10:07:09+00
526;16;2017-02-15 10:07:09+00
527;11;2017-02-15 10:07:09+00
528;8;2017-02-15 10:07:09+00
529;5;2017-02-15 10:07:09+00
530;1;2017-02-15 10:07:09+00
531;9;2017-02-15 10:07:09+00
532;15;2017-02-15 10:07:09+00
533;9;2017-02-15 10:07:09+00
534;8;2017-02-15 10:07:09+00
535;11;2017-02-15 10:07:09+00
536;4;2017-02-15 10:07:09+00
537;4;2017-02-15 10:07:09+00
538;13;2017-02-15 10:07:09+00
539;7;2017-02-15 10:07:09+00
540;12;2017-02-15 10:07:09+00
541;2;2017-02-15 10:07:09+00
542;1;2017-02-15 10:07:09+00
543;16;2017-02-15 10:07:09+00
544;6;2017-02-15 10:07:09+00
545;9;2017-02-15 10:07:09+00
546;10;2017-02-15 10:07:09+00
547;3;2017-02-15 10:07:09+00
548;4;2017-02-15 10:07:09+00
549;1;2017-02-15 10:07:09+00
550;8;2017-02-15 10:07:09+00
551;13;2017-02-15 10:07:09+00
552;6;2017-02-15 10:07:09+00
553;3;2017-02-15 10:07:09+00
554;4;2017-02-15 10:07:09+00
555;5;2017-02-15 10:07:09+00
556;10;2017-02-15 10:07:09+00
557;8;2017-02-15 10:07:09+00
558;13;2017-02-15 10:07:09+00
559;14;2017-02-15 10:07:09+00
560;10;2017-02-15 10:07:09+00
561;13;2017-02-15 10:07:09+00
562;12;2017-02-15 10:07:09+00
563;10;2017-02-15 10:07:09+00
564;2;2017-02-15 10:07:09+00
565;9;2017-02-15 10:07:09+00
566;9;2017-02-15 10:07:09+00
567;9;2017-02-15 10:07:09+00
568;5;2017-02-15 10:07:09+00
569;2;2017-02-15 10:07:09+00
570;15;2017-02-15 10:07:09+00
571;6;2017-02-15 10:07:09+00
572;14;2017-02-15 10:07:09+00
573;3;2017-02-15 10:07:09+00
574;1;2017-02-15 10:07:09+00
575;6;2017-02-15 10:07:09+00
576;6;2017-02-15 10:07:09+00
577;15;2017-02-15 10:07:09+00
578;4;2017-02-15 10:07:09+00
579;1;2017-02-15 10:07:09+00
580;13;2017-02-15 10:07:09+00
581;12;2017-02-15 10:07:09+00
582;2;2017-02-15 10:07:09+00
583;2;2017-02-15 10:07:09+00
584;9;2017-02-15 10:07:09+00
585;7;2017-02-15 10:07:09+00
586;1;2017-02-15 10:07:09+00
587;6;2017-02-15 10:07:09+00
588;3;2017-02-15 10:07:09+00
589;6;2017-02-15 10:07:09+00
590;13;2017-02-15 10:07:09+00
591;10;2017-02-15 10:07:09+00
592;12;2017-02-15 10:07:09+00
593;11;2017-02-15 10:07:09+00
594;1;2017-02-15 10:07:09+00
595;9;2017-02-15 10:07:09+00
596;10;2017-02-15 10:07:09+00
597;10;2017-02-15 10:07:09+00
598;15;2017-02-15 10:07:09+00
599;15;2017-02-15 10:07:09+00
600;11;2017-02-15 10:07:09+00
601;16;2017-02-15 10:07:09+00
602;14;2017-02-15 10:07:09+00
603;8;2017-02-15 10:07:09+00
604;5;2017-02-15 10:07:09+00
605;9;2017-02-15 10:07:09+00
606;15;2017-02-15 10:07:09+00
607;9;2017-02-15 10:07:09+00
608;3;2017-02-15 10:07:09+00
609;16;2017-02-15 10:07:09+00
610;8;2017-02-15 10:07:09+00
611;4;2017-02-15 10:07:09+00
612;15;2017-02-15 10:07:09+00
613;5;2017-02-15 10:07:09+00
614;10;2017-02-15 10:07:09+00
615;2;2017-02-15 10:07:09+00
616;6;2017-02-15 10:07:09+00
617;8;2017-02-15 10:07:09+00
618;7;2017-02-15 10:07:09+00
619;15;2017-02-15 10:07:09+00
620;14;2017-02-15 10:07:09+00
621;8;2017-02-15 10:07:09+00
622;6;2017-02-15 10:07:09+00
623;9;2017-02-15 10:07:09+00
624;10;2017-02-15 10:07:09+00
625;14;2017-02-15 10:07:09+00
626;3;2017-02-15 10:07:09+00
627;6;2017-02-15 10:07:09+00
628;15;2017-02-15 10:07:09+00
629;6;2017-02-15 10:07:09+00
630;7;2017-02-15 10:07:09+00
631;15;2017-02-15 10:07:09+00
632;13;2017-02-15 10:07:09+00
633;4;2017-02-15 10:07:09+00
634;8;2017-02-15 10:07:09+00
635;13;2017-02-15 10:07:09+00
636;12;2017-02-15 10:07:09+00
637;14;2017-02-15 10:07:09+00
638;5;2017-02-15 10:07:09+00
639;8;2017-02-15 10:07:09+00
640;9;2017-02-15 10:07:09+00
641;9;2017-02-15 10:07:09+00
642;16;2017-02-15 10:07:09+00
643;7;2017-02-15 10:07:09+00
644;2;2017-02-15 10:07:09+00
645;16;2017-02-15 10:07:09+00
646;10;2017-02-15 10:07:09+00
647;12;2017-02-15 10:07:09+00
648;16;2017-02-15 10:07:09+00
649;2;2017-02-15 10:07:09+00
650;6;2017-02-15 10:07:09+00
651;2;2017-02-15 10:07:09+00
652;4;2017-02-15 10:07:09+00
653;11;2017-02-15 10:07:09+00
654;10;2017-02-15 10:07:09+00
655;14;2017-02-15 10:07:09+00
656;16;2017-02-15 10:07:09+00
657;5;2017-02-15 10:07:09+00
658;11;2017-02-15 10:07:09+00
659;1;2017-02-15 10:07:09+00
660;5;2017-02-15 10:07:09+00
661;9;2017-02-15 10:07:09+00
662;7;2017-02-15 10:07:09+00
663;4;2017-02-15 10:07:09+00
664;1;2017-02-15 10:07:09+00
665;11;2017-02-15 10:07:09+00
666;7;2017-02-15 10:07:09+00
667;15;2017-02-15 10:07:09+00
668;15;2017-02-15 10:07:09+00
669;9;2017-02-15 10:07:09+00
670;6;2017-02-15 10:07:09+00
671;15;2017-02-15 10:07:09+00
672;5;2017-02-15 10:07:09+00
673;12;2017-02-15 10:07:09+00
674;9;2017-02-15 10:07:09+00
675;13;2017-02-15 10:07:09+00
676;15;2017-02-15 10:07:09+00
677;13;2017-02-15 10:07:09+00
678;15;2017-02-15 10:07:09+00
679;8;2017-02-15 10:07:09+00
680;5;2017-02-15 10:07:09+00
681;15;2017-02-15 10:07:09+00
682;8;2017-02-15 10:07:09+00
683;7;2017-02-15 10:07:09+00
684;10;2017-02-15 10:07:09+00
685;13;2017-02-15 10:07:09+00
686;13;2017-02-15 10:07:09+00
687;6;2017-02-15 10:07:09+00
688;3;2017-02-15 10:07:09+00
689;9;2017-02-15 10:07:09+00
690;2;2017-02-15 10:07:09+00
691;15;2017-02-15 10:07:09+00
692;2;2017-02-15 10:07:09+00
693;2;2017-02-15 10:07:09+00
694;4;2017-02-15 10:07:09+00
695;8;2017-02-15 10:07:09+00
696;2;2017-02-15 10:07:09+00
697;1;2017-02-15 10:07:09+00
698;6;2017-02-15 10:07:09+00
699;10;2017-02-15 10:07:09+00
700;8;2017-02-15 10:07:09+00
701;10;2017-02-15 10:07:09+00
702;11;2017-02-15 10:07:09+00
703;2;2017-02-15 10:07:09+00
704;5;2017-02-15 10:07:09+00
705;9;2017-02-15 10:07:09+00
706;7;2017-02-15 10:07:09+00
707;1;2017-02-15 10:07:09+00
708;6;2017-02-15 10:07:09+00
709;7;2017-02-15 10:07:09+00
710;8;2017-02-15 10:07:09+00
711;14;2017-02-15 10:07:09+00
712;6;2017-02-15 10:07:09+00
713;6;2017-02-15 10:07:09+00
714;14;2017-02-15 10:07:09+00
715;8;2017-02-15 10:07:09+00
716;11;2017-02-15 10:07:09+00
717;1;2017-02-15 10:07:09+00
718;12;2017-02-15 10:07:09+00
719;15;2017-02-15 10:07:09+00
720;13;2017-02-15 10:07:09+00
721;12;2017-02-15 10:07:09+00
722;11;2017-02-15 10:07:09+00
723;14;2017-02-15 10:07:09+00
724;8;2017-02-15 10:07:09+00
725;4;2017-02-15 10:07:09+00
726;9;2017-02-15 10:07:09+00
727;8;2017-02-15 10:07:09+00
728;7;2017-02-15 10:07:09+00
729;15;2017-02-15 10:07:09+00
730;13;2017-02-15 10:07:09+00
731;4;2017-02-15 10:07:09+00
732;1;2017-02-15 10:07:09+00
733;15;2017-02-15 10:07:09+00
734;6;2017-02-15 10:07:09+00
735;3;2017-02-15 10:07:09+00
